Post Number,Title,Date,Author,Categories,Graphics,Length,Comments
1,They pay you for not working,"1 September 2008, 7:56 pm",Andrew,['Sociology'],0,81,5
2,Non-nested latent class models,"1 September 2008, 7:53 pm",Andrew,['Multilevel Modeling'],0,220,0
3,Learning structural forms,"1 September 2008, 7:35 pm",Andrew,"['Bayesian Statistics', 'Miscellaneous Science']",0,73,0
4,New York Academy of Sciences Machine Learning Symposium,"1 September 2008, 7:31 pm",Andrew,['Statistical computing'],0,377,0
5,No evidence that VP choice has much effect on the vote,"1 September 2008, 6:59 pm",Andrew,['Uncategorized'],0,186,0
6,Data as chartjunk,"31 August 2008, 7:54 pm",Andrew,['Statistical graphics'],1,7,0
7,Dynamic Hierarchical Factor Models,"30 August 2008, 8:14 pm",Andrew,"['Economics', 'Multilevel Modeling']",0,330,0
8,Barney Smith and Smith Barney,"30 August 2008, 6:50 pm",Andrew,['Political Science'],0,120,2
9,A (former) Alaskan&#8217;s view of Sarah Palin,"30 August 2008, 8:38 am",Andrew,['Political Science'],0,748,8
10,108% of respondents say . . .,"30 August 2008, 8:24 am",Andrew,['Political Science'],0,197,0
11,Battle of the biostatisticians,"29 August 2008, 12:23 am",Andrew,['Public Health'],0,730,1
12,The increasing importance of moral issues in American politics,"28 August 2008, 1:17 pm",Andrew,['Political Science'],1,126,0
13,"Red State, Blue State on the radio","28 August 2008, 9:57 am",Andrew,['Political Science'],0,47,0
14,"Red State, Blue State on the radio","27 August 2008, 10:51 pm",Andrew,['Political Science'],0,44,4
15,Some questions on multilevel models,"27 August 2008, 1:11 am",Andrew,['Multilevel Modeling'],0,778,3
16,Intraclass correlation for Poisson models,"27 August 2008, 12:07 am",Andrew,['Multilevel Modeling'],0,22,0
17,The Geopolitics of the Pepsi Center,"26 August 2008, 10:37 pm",Jeronimo,['Political Science'],0,160,0
18,&#8220;If you act or behave in a way which damages . . .&#8221;,"26 August 2008, 9:53 am",Andrew,['Literature'],0,161,0
19,"Engineers think about the method, statisticians think about psychology","25 August 2008, 8:29 pm",Andrew,['Sociology'],0,70,0
20,"70,000 Ossetians","25 August 2008, 12:52 pm",Andrew,['Literature'],0,12,0
21,"70,000 Assyrians","25 August 2008, 12:51 pm",Andrew,['Political Science'],0,237,0
22,"Bayesian inference from the outside, vs. Bayesian inference as it is practiced","25 August 2008, 10:54 am",Andrew,['Bayesian Statistics'],0,1439,4
23,Dependent and independent variables,"25 August 2008, 10:49 am",Andrew,['Miscellaneous Statistics'],0,141,3
24,"When voting on Supreme Court nominees, senators respond to public opinion","25 August 2008, 9:36 am",Andrew,"['Multilevel Modeling', 'Political Science']",0,314,0
25,&#8220;The method of multiple correlation&#8221;,"23 August 2008, 4:09 pm",Andrew,['Miscellaneous Statistics'],0,140,1
26,Pretty pictures,"23 August 2008, 4:05 pm",Andrew,['Statistical graphics'],0,8,0
27,"&#8220;Red State, Blue State&#8221; reviewed in the New York Observer","22 August 2008, 5:14 pm",Andrew,['Political Science'],0,103,3
28,"&#8220;Red State, Blue State&#8221; reviewed in the New York Observer","22 August 2008, 5:13 pm",Andrew,['Political Science'],0,108,0
29,The conventions: who&#8217;s bouncin&#8217;?,"22 August 2008, 12:28 pm",Andrew,['Political Science'],2,16,0
30,The conventions: who&#8217;s bouncin&#8217;?,"22 August 2008, 6:34 am",Andrew,['Political Science'],2,210,0
31,Can&#8217;t the National Weather Service do better than this?,"22 August 2008, 3:03 am",Andrew,['Statistical graphics'],0,62,1
32,"Friday the 13th, Part 2","22 August 2008, 1:17 am",Andrew,['Public Health'],0,237,2
33,Bad binning can mislead,"22 August 2008, 12:14 am",Andrew,['Statistical graphics'],3,117,6
34,Evidence that the state of the economy is crucial to voters,"21 August 2008, 7:35 am",Andrew,['Political Science'],0,174,2
35,Radford Neal&#8217;s blog,"21 August 2008, 12:16 am",Andrew,['Statistical computing'],0,252,4
36,&#8220;Mean reversion&#8221; and &#8220;random walk&#8221; models of campaign effects,"20 August 2008, 12:27 pm",Andrew,['Political Science'],1,243,0
37,Interactions,"20 August 2008, 12:25 am",Andrew,['Miscellaneous Statistics'],1,265,4
38,"Never attribute to maliciousness what can instead be attributed to softwre, or, Anyone who googles himself deserves what he finds","19 August 2008, 12:09 am",Andrew,['Sociology'],0,161,1
39,Non-strategic behavior of political parties when deciding when incumbents should retire,"18 August 2008, 9:14 pm",Andrew,['Political Science'],0,591,0
40,NY area computer science and economics day,"18 August 2008, 5:42 pm",Andrew,['Economics'],0,28,0
41,I&#8217;m sure someone can explain this one to me,"18 August 2008, 3:29 pm",Andrew,['Art'],0,14,5
42,Am I a boy or a girl?,"15 August 2008, 9:19 am",Andrew,['Sociology'],0,92,5
43,The difference between &#8220;quals&#8221; and &#8220;quants&#8221;,"14 August 2008, 12:08 am",Andrew,"['Political Science', 'Sociology']",0,312,1
44,Extreme Programming,"13 August 2008, 3:49 pm",Andrew,['Statistical computing'],0,32,1
45,Just one of those things,"12 August 2008, 12:36 am",Andrew,['Decision Theory'],0,175,1
46,Partisan Bias in Federal Public Corruption Prosecutions,"11 August 2008, 9:03 am",Andrew,['Political Science'],0,733,0
47,The Battle of the Bayes,"8 August 2008, 8:56 pm",Andrew,['Bayesian Statistics'],0,1205,8
