Post Number,Title,Date,Author,Categories,Graphics,Length,Comments
1,Who are the liberal Democrats and the conservative Republicans?,"17 August 2009, 8:17 pm",Andrew,['Political Science'],1,290,1
2,&#8220;Rationality&#8221; does not imply &#8220;self-interested&#8221;,"17 August 2009, 6:06 pm",Andrew,"['Decision Theory', 'Economics', 'Political Science']",0,414,1
3,More on the Iranian election,"17 August 2009, 5:33 pm",Andrew,['Political Science'],0,66,3
4,What Were They Thinking?,"17 August 2009, 11:00 am",Andrew,['Literature'],0,115,8
5,Like deciding who won the Indy 500 by picking the car with the snazziest paint job,"17 August 2009, 8:47 am",Andrew,['Statistical graphics'],0,446,0
6,Econometrics reaches The Economist,"16 August 2009, 8:46 pm",Andrew,"['Causal Inference', 'Economics']",0,1242,9
7,Problems with poll adjustments that aggressively screen for likely voters,"15 August 2009, 9:28 pm",Andrew,['Political Science'],0,11,0
8,Bloggitude: who gets upset by what?,"14 August 2009, 10:02 pm",Andrew,"['Economics', 'Literature', 'Sociology']",0,487,2
9,You can&#8217;t win for losing,"14 August 2009, 7:55 pm",Andrew,"['Causal Inference', 'Sports']",2,336,9
10,One of those funny things,"14 August 2009, 7:50 pm",Andrew,"['Causal Inference', 'Economics', 'Sociology']",0,17,4
11,Defining dystopia down,"14 August 2009, 11:14 am",Andrew,['Economics'],0,93,3
12,Kevin Kelly on Ockham,"13 August 2009, 8:53 pm",Andrew,['Bayesian Statistics'],0,257,1
13,New book on Bayesian nonparametrics,"13 August 2009, 3:54 pm",Andrew,['Bayesian Statistics'],0,2281,1
14,Stats for kids,"12 August 2009, 8:48 pm",Andrew,['Teaching'],0,385,2
15,Rich people are more likely to be Republican but not more likely to be conservative,"12 August 2009, 1:47 pm",Andrew,['Political Science'],2,148,9
16,Upgrading R,"12 August 2009, 10:10 am",Andrew,['Statistical computing'],0,150,9
17,"Political preferences, charitable giving, and income","11 August 2009, 5:18 pm",Andrew,['Political Science'],0,390,5
18,"Just quaid, part 2","11 August 2009, 3:50 pm",Andrew,"['Economics', 'Miscellaneous Statistics', 'Public Health']",0,130,2
19,Looking forward to 2010,"10 August 2009, 9:03 pm",Andrew,['Political Science'],1,102,0
20,Poll data on health care opinions,"10 August 2009, 8:35 pm",Andrew,"['Political Science', 'Public Health']",0,62,0
21,"Times are changing, not always for the better","9 August 2009, 8:26 pm",Andrew,['Literature'],0,48,0
22,The statistician over your shoulder,"8 August 2009, 9:40 pm",Andrew,['Teaching'],0,869,5
23,Scholarpedia article on Bayesian Statistics,"6 August 2009, 11:37 pm",Andrew,['Bayesian Statistics'],0,36,7
24,How to design a mini-lecture on statistical inference?,"6 August 2009, 9:10 pm",Andrew,['Teaching'],0,718,8
25,Testing complicated contrasts in Anova-type models,"6 August 2009, 9:01 pm",Andrew,"['Bayesian Statistics', 'Decision Theory', 'Miscellaneous Statistics']",0,290,2
26,The difference between complete ignorance (p=1/2) and certainty that p=1/2,"6 August 2009, 8:56 pm",Andrew,"['Bayesian Statistics', 'Sports']",0,139,0
27,Workshop: Estimating Effects and Correlations in Neuroimaging Data,"6 August 2009, 5:58 pm",Andrew,['Bayesian Statistics'],0,92,0
28,Luc Sante has a blog,"6 August 2009, 12:13 pm",Andrew,"['Art', 'Literature']",0,25,0
29,Cool pictures of parallel coordinates,"5 August 2009, 10:21 pm",Andrew,['Statistical graphics'],3,192,5
30,New R GUI: is this the wave of the future?,"4 August 2009, 9:30 pm",Andrew,['Statistical computing'],0,658,2
31,How conservative are Michelle Malkin and Michael Moore?,"4 August 2009, 12:32 am",Andrew,['Political Science'],1,765,1
32,The accident externality from driving: an extra $2500/year per driver,"2 August 2009, 6:21 pm",Andrew,"['Decision Theory', 'Economics', 'Political Science', 'Public Health']",0,620,7
33,Job opportunity: educational data analyst in NYC,"1 August 2009, 4:45 pm",Andrew,['Miscellaneous Statistics'],0,994,0
34,Undervalued graduate programs?,"31 July 2009, 7:03 pm",Andrew,['Teaching'],0,516,5
35,"Estimating treatment effects that vary, with application to voter mobilization experiments in political science","31 July 2009, 12:35 pm",Andrew,"['Causal Inference', 'Political Science']",0,731,2
36,Advice on writing research articles,"30 July 2009, 10:08 am",Andrew,"['Literature', 'Miscellaneous Statistics', 'Teaching']",0,1861,1
37,Support for Health Care Reform: Is Public Opinion More Favorable for Obama than It Was for Clinton in 1994?,"29 July 2009, 10:53 pm",Andrew,['Political Science'],0,590,2
38,"On citation practices, strategic and otherwise","29 July 2009, 10:10 pm",Andrew,['Sociology'],0,798,1
39,More on Medicare costs,"28 July 2009, 9:33 pm",Andrew,"['Economics', 'Political Science', 'Public Health']",0,308,7
40,What might happen in the 2010 House elections,"28 July 2009, 5:51 pm",Andrew,['Political Science'],1,449,3
41,"Behavior that seems unreasonable is actually rational, or Behavior that seems reasonable is actually irrational","28 July 2009, 9:36 am",Andrew,['Economics'],0,455,6
42,This is just sad,"27 July 2009, 9:11 pm",Andrew,['Miscellaneous Science'],0,119,7
43,Dividing the Netflix prize &#8211; and Bayesian philosophy,"27 July 2009, 1:36 pm",Aleks Jakulin,"['Bayesian Statistics', 'Miscellaneous Statistics', 'Statistical computing']",0,382,8
44,The science of wishful thinking,"27 July 2009, 9:13 am",Andrew,['Miscellaneous Science'],0,216,8
45,"Since Primary Challenge, Specter Voting with Dems 97% of the Time","25 July 2009, 9:24 pm",Andrew,['Political Science'],0,33,0
46,Maybe David Mamet and Tom Wolfe can come out of retirement to write an op-ed on this,"24 July 2009, 9:21 am",Andrew,['Political Science'],0,20,0
47,Pearl&#8217;s and Gelman&#8217;s final thoghts (for now) on causal inference,"23 July 2009, 10:47 pm",Andrew,['Causal Inference'],0,962,2
48,That modeling feeling,"23 July 2009, 10:31 am",Andrew,"['Literature', 'Miscellaneous Statistics']",0,1052,1
49,Congressional counterfactuals,"22 July 2009, 5:05 pm",Andrew,"['Causal Inference', 'Political Science']",1,193,2
50,There is no utility function,"22 July 2009, 9:20 am",Andrew,['Decision Theory'],0,433,1
51,Titling,"22 July 2009, 8:46 am",Andrew,"['Literature', 'Political Science']",0,29,0
52,Kids today . . . I don&#8217;t understand &#8216;em,"21 July 2009, 5:27 pm",Andrew,['Sports'],0,277,8
53,Statistician/Polling Specialist Needed: Volunteer Sought for Short-term Assignment in Egypt,"21 July 2009, 5:07 pm",Andrew,"['Miscellaneous Statistics', 'Political Science']",0,411,0
54,Great moments in publishing (not),"21 July 2009, 9:18 am",Andrew,['Literature'],0,443,1
55,R package for Lohr&#8217;s book on survey sampling,"20 July 2009, 4:09 pm",Andrew,['Teaching'],0,52,2
56,Comments,"20 July 2009, 3:49 pm",Andrew,['Administrative'],0,42,0
57,My class on survey sampling,"20 July 2009, 9:04 am",Andrew,['Teaching'],0,229,0
58,Impact factors,"18 July 2009, 9:09 pm",Andrew,['Miscellaneous Statistics'],0,88,8
59,Doing graphics the George Orwell way,"17 July 2009, 10:36 am",Andrew,"['Literature', 'Statistical graphics']",2,679,8
60,"Cool graphs of geographic variation in attitudes, based on non-random samples but still interesting","16 July 2009, 9:33 pm",Andrew,"['Political Science', 'Statistical graphics']",8,300,1
61,Progress,"16 July 2009, 9:58 am",Andrew,['Multilevel Modeling'],0,175,0
62,Hard sell for Bayes,"15 July 2009, 1:27 pm",Andrew,['Bayesian Statistics'],2,447,1
63,Beta distribution explorer,"15 July 2009, 11:37 am",Aleks Jakulin,"['Bayesian Statistics', 'Statistical graphics']",1,51,0
64,How to think about instrumental variables when you get confused,"14 July 2009, 8:32 pm",Andrew,"['Causal Inference', 'Economics', 'Political Science']",0,512,4
65,Where to start reading about causality,"14 July 2009, 8:11 pm",Andrew,['Causal Inference'],2,209,7
66,"Some questions about Red State, Blue State from a student","14 July 2009, 8:02 pm",Andrew,['Political Science'],0,577,0
67,"Protestants, Catholics, and Jews on the Supreme Court","13 July 2009, 10:01 pm",Andrew,['Political Science'],1,10,1
68,They learn how to fit multilevel models,"13 July 2009, 10:41 am",Andrew,"['Economics', 'Sociology']",0,815,1
69,Going beyond exchangeable models,"13 July 2009, 9:58 am",Andrew,['Bayesian Statistics'],0,272,0
70,When to standardize regression inputs and when to leave them alone,"11 July 2009, 9:25 pm",Andrew,"['Bayesian Statistics', 'Causal Inference', 'Miscellaneous Statistics']",0,1163,9
71,Work with me in Paris on a postdoc!,"10 July 2009, 9:32 pm",Andrew,"['Bayesian Statistics', 'Public Health']",0,416,3
72,Rubinism: separating the causal model from the Bayesian data analysis,"10 July 2009, 5:29 pm",Andrew,"['Bayesian Statistics', 'Causal Inference']",0,779,1
73,The Obama Administration and LGBTQI Rights,"9 July 2009, 10:25 pm",Andrew,['Political Science'],0,57,1
74,"More on Pearl/Rubin, this time focusing on a couple of points","9 July 2009, 9:21 am",Andrew,"['Bayesian Statistics', 'Causal Inference']",0,1450,1
75,Democrats do better among the most and least educated groups,"8 July 2009, 10:42 pm",Andrew,['Political Science'],1,147,0
76,More on Pearl&#8217;s and Rubin&#8217;s frameworks for causal inference,"7 July 2009, 9:07 pm",Andrew,"['Bayesian Statistics', 'Causal Inference']",0,3695,6
77,"Philip Dawid&#8217;s explication of Pearl&#8217;s model, and two ways of thinking about nonrandom sampling","7 July 2009, 4:15 pm",Andrew,"['Bayesian Statistics', 'Causal Inference']",0,1327,0
78,50 Things to Do with Kids in New York City This Summer (mostly free),"6 July 2009, 9:29 pm",Andrew,['Art'],0,10,3
79,Science and Pseudoscience in Adult Nutrition Research and Practice,"6 July 2009, 9:02 pm",Andrew,['Public Health'],0,218,8
80,This week&#8217;s New York R Meetup is about Bayes,"6 July 2009, 2:48 pm",Aleks Jakulin,['Bayesian Statistics'],0,83,0
81,Does Medicare actually have higher administrative costs than private insurers?,"6 July 2009, 9:15 am",Andrew,"['Causal Inference', 'Decision Theory', 'Economics', 'Teaching']",0,727,1
82,Resolving disputes between J. Pearl and D. Rubin on causal inference,"5 July 2009, 12:32 pm",Andrew,['Causal Inference'],0,2005,2
83,Confusing reliability with validity,"3 July 2009, 5:11 pm",Andrew,['Teaching'],0,407,7
84,How does statistical analysis differ when analyzing the entire population rather than a sample?,"3 July 2009, 7:46 am",Andrew,['Miscellaneous Statistics'],0,315,5
85,Statistics on hiring statisticians,"2 July 2009, 5:30 pm",Aleks Jakulin,['Miscellaneous Statistics'],1,4,6
86,Arthur Jensen: &#8220;the possible indicators of g are of unlimited diversity . . .&#8221;,"2 July 2009, 9:05 am",Andrew,"['Miscellaneous Science', 'Miscellaneous Statistics', 'Sociology']",0,810,1
87,More on the median voter,"1 July 2009, 4:03 pm",Andrew,['Political Science'],0,393,0
88,Should Mark Sanford resign?,"30 June 2009, 11:20 pm",Andrew,"['Political Science', 'Statistical graphics']",0,528,6
89,Visualizing correlations circularly,"30 June 2009, 10:29 am",Aleks Jakulin,['Statistical graphics'],2,95,6
90,&#8220;A paved United States in our day&#8221;,"30 June 2009, 8:07 am",Andrew,['Political Science'],1,285,0
91,He shared an office with an assortment of mops and brooms,"29 June 2009, 4:19 pm",Andrew,['Teaching'],0,270,4
92,Casey Mulligan is consistent,"29 June 2009, 12:12 am",Andrew,"['Economics', 'Political Science']",0,523,5
93,A scary thought,"28 June 2009, 11:51 pm",Andrew,['Economics'],0,110,1
94,Some NIH-funded projects are less than earthshaking,"27 June 2009, 5:59 pm",Andrew,['Sociology'],0,240,7
95,Statistical Tests and Election Fraud,"27 June 2009, 5:00 pm",Andrew,['Political Science'],0,392,0
96,Multiple Imputation with Diagnostics (mi) in R: Opening Windows into the Black Box,"26 June 2009, 10:51 pm",Andrew,"['Miscellaneous Statistics', 'Statistical computing']",0,248,4
97,&#8220;These stories make the case far better than any statistics ever could&#8221;,"26 June 2009, 4:43 pm",Andrew,['Decision Theory'],0,274,3
98,It&#8217;s tough when you have 9 predictors and only 7 data points,"26 June 2009, 12:08 am",Andrew,"['Miscellaneous Statistics', 'Political Science', 'Statistical graphics']",1,219,1
99,Use of Bayesian Techniques in Randomized Clinical Trials: A CMS Case Study,"25 June 2009, 8:19 pm",Andrew,['Bayesian Statistics'],0,108,3
100,The roach-bombing puzzle,"25 June 2009, 11:29 am",Andrew,"['Miscellaneous Science', 'Political Science']",0,278,8
101,Some election audits in California,"24 June 2009, 9:49 pm",Andrew,['Political Science'],0,36,0
102,What to teach in a multilevel modeling course,"24 June 2009, 8:48 pm",Andrew,"['Multilevel Modeling', 'Teaching']",0,268,0
103,Resources on &#8220;How many X&#8217;s do you know?&#8221; projects,"24 June 2009, 5:49 pm",Andrew,['Sociology'],0,7,0
104,"OK, OK, I know this is the stuff you come to the blog for. Not the pretty maps, not the comments about academia. And certainly not my thoughts on John P. Marquand, Weekend at Bernies, and other cultural treasures. No, it&#8217;s the statistics. So here goes&#8230;","23 June 2009, 9:05 pm",Andrew,['Multilevel Modeling'],0,373,2
105,Another reason I&#8217;m glad I&#8217;m not an economist,"23 June 2009, 5:04 pm",Andrew,"['Economics', 'Sociology']",0,259,2
106,Some statistical methods for election auditing,"22 June 2009, 8:57 pm",Andrew,['Political Science'],0,244,2
107,The median voter theorem as a weak force in politics,"22 June 2009, 6:32 pm",Andrew,['Political Science'],1,4,0
108,"Iran vote count: &#8220;fraud pretty clear now,&#8221; sez Mebane","22 June 2009, 6:11 pm",Andrew,['Political Science'],0,71,7
109,Future Trends for Same-Sex Marriage Support?,"21 June 2009, 11:43 pm",jeff,[],1,102,2
110,"Of Beauty, Sex, and Power","21 June 2009, 8:36 pm",Andrew,['Miscellaneous Statistics'],3,356,7
111,Combining findings at the Province and County Level from Iran&#8217;s Election,"20 June 2009, 9:32 pm",Andrew,['Political Science'],0,495,8
112,Is it &#8220;schlocky&#8221; to compare life expectancies between countries?,"20 June 2009, 5:02 pm",Andrew,"['Decision Theory', 'Economics', 'Miscellaneous Statistics', 'Public Health']",0,555,2
113,The Devil is in the Digits,"20 June 2009, 4:44 pm",Andrew,['Political Science'],0,632,4
114,"Acne, self-experimentation, and larger experiments","20 June 2009, 8:07 am",Andrew,"['Causal Inference', 'Miscellaneous Science', 'Miscellaneous Statistics', 'Public Health']",0,596,1
115,Philip Roth is a modern-day John P. Marquand,"19 June 2009, 12:21 am",Andrew,['Literature'],0,88,5
116,The Tourist,"18 June 2009, 8:59 pm",Andrew,['Literature'],0,8,0
117,Sharon Begley of Newsweek received the Excellence in Statistical Reporting Award,"18 June 2009, 8:34 pm",Andrew,['Miscellaneous Statistics'],0,166,0
118,"&#8220;The sample size is huge, so a p-value of 0.007 is not that impressive&#8221;","18 June 2009, 7:43 am",Andrew,"['Decision Theory', 'Miscellaneous Statistics']",0,372,1
119,Unconvincing (to me) use of Benford&#8217;s law to demonstrate election fraud in Iran,"17 June 2009, 10:30 pm",Andrew,"['Miscellaneous Statistics', 'Political Science']",0,484,1
120,The defining values,"17 June 2009, 8:26 am",Andrew,['Miscellaneous Statistics'],0,153,3
121,Mandelbrot on taxonomy,"16 June 2009, 11:30 pm",Andrew,"['Miscellaneous Science', 'Miscellaneous Statistics']",1,61,3
122,Who wants school vouchers? Rich whites and poor nonwhites,"15 June 2009, 11:22 pm",Andrew,"['Multilevel Modeling', 'Political Science']",3,525,8
123,U.S. Births Hint at Bias for Boys in Some Asians,"15 June 2009, 10:11 pm",Andrew,"['Miscellaneous Science', 'Public Health', 'Statistical graphics', 'Teaching']",0,258,0
124,A fondness for collecting a salary and getting away with as little intellectual intercourse as possible,"15 June 2009, 4:56 pm",Andrew,"['Economics', 'Sociology']",0,146,5
125,Any sociologists out there? A question about the connections between &#8220;voting power&#8221; (pivotality) and actual power,"15 June 2009, 10:06 am",Andrew,"['Political Science', 'Sociology']",0,636,0
126,"According to Page and Jacobs, Americans are conservative egalitarians who accept higher taxes and more government spending so as to give people equal opportunities","14 June 2009, 8:51 pm",Andrew,['Political Science'],0,1981,5
127,Modeling election outcomes in multimember districts.,"14 June 2009, 6:04 pm",Andrew,['Political Science'],0,250,0
128,Gay Rights are Popular in Many Dimensions,"13 June 2009, 9:29 pm",Andrew,"['Multilevel Modeling', 'Political Science']",1,128,5
129,The frequency of same-sex couples and opinions on same-sex marriage: how to reconcile the different patterns?,"13 June 2009, 4:28 pm",Andrew,['Political Science'],0,250,2
130,Bizarre bumper sticker,"13 June 2009, 3:41 pm",Andrew,['Political Science'],0,106,1
131,Any suggestions on how to learn applied statistics?,"12 June 2009, 9:46 pm",Andrew,"['Miscellaneous Statistics', 'Teaching']",0,157,1
132,Triple blind is only the beginning,"12 June 2009, 9:04 pm",Andrew,['Sociology'],0,6,0
133,Gay marriage: a tipping point?,"11 June 2009, 9:18 pm",Andrew,"['Multilevel Modeling', 'Public Health']",2,958,2
134,Triple-blinding,"11 June 2009, 8:21 pm",Andrew,"['Causal Inference', 'Sociology']",0,231,0
135,Google Fusion Tables,"11 June 2009, 11:08 am",Aleks Jakulin,"['Miscellaneous Statistics', 'Statistical computing']",2,145,4
136,Banova,"10 June 2009, 9:53 pm",Andrew,['Multilevel Modeling'],0,196,4
137,"Double blind, double trouble","10 June 2009, 8:50 pm",Andrew,"['Literature', 'Sociology']",1,322,1
138,A great image viewer,"10 June 2009, 11:24 am",Andrew,['Statistical graphics'],0,23,5
