Post Number,Title,Date,Author,Categories,Graphics,Length,Comments
1,How locavores could save the world?,"23 March 2010, 3:20 pm",Andrew,"['Decision Theory', 'Economics']",0,27,0
2,"Hey, statistics is easy!","23 March 2010, 3:10 pm",Andrew,['Miscellaneous Statistics'],0,190,1
3,pretty() ain&#8217;t always so pretty,"23 March 2010, 11:45 am",Andrew,['Statistical graphics'],4,1154,1
4,Interviewer effects,"22 March 2010, 4:47 pm",Andrew,['Political Science'],0,216,0
5,Good timing: The role of quantitative political science and political reporting in shaping perceptions,"22 March 2010, 11:01 am",Andrew,['Political Science'],1,418,2
6,The man in the gray flannel hypothesis,"22 March 2010, 10:25 am",Andrew,['Miscellaneous Statistics'],0,20,0
7,Simulation of a statistics blogosphere,"22 March 2010, 9:05 am",Andrew,['Bayesian Statistics'],0,2311,1
8,"The old, old story: Effective graphics for conveying information vs. effective graphics for grabbing your attention","21 March 2010, 8:21 am",Andrew,"['Political Science', 'Statistical graphics']",1,653,1
9,"Multilevel modeling, lots of levels","19 March 2010, 9:43 pm",Andrew,['Multilevel Modeling'],0,394,0
10,This page intentionally left blank,"19 March 2010, 9:15 am",Andrew,['Art'],0,135,6
11,Goofy Fox News poll questions,"19 March 2010, 4:24 am",Andrew,['Political Science'],0,230,1
12,Getting confidence into the scaffolding &#8211; even if Bayes did or did not intend that.,"18 March 2010, 9:05 pm",keithor,['Bayesian Statistics'],0,348,2
13,Lojack for Grandpa,"18 March 2010, 4:41 pm",Andrew,['Miscellaneous Science'],0,31,0
14,"OK, OK. If four people email me about something, I&#8217;ll blog on it.","18 March 2010, 1:14 pm",Andrew,['Bayesian Statistics'],0,718,1
15,Confusion about Bayesian model checking,"18 March 2010, 12:51 pm",Andrew,['Bayesian Statistics'],0,745,6
16,Redundant parameterization and inference for weakly-identified parameters,"18 March 2010, 12:19 pm",Andrew,"['Bayesian Statistics', 'Multilevel Modeling']",0,231,0
17,A whole new kind of z-statistic,"17 March 2010, 3:11 pm",Andrew,['Zombies'],0,2,1
18,More pretty pictures,"17 March 2010, 12:02 pm",Andrew,['Statistical graphics'],0,187,6
