Post Number,Title,Date,Author,Categories,Graphics,Length,Comments
1,"&#8220;Tiny,&#8221; &#8220;Large,&#8221; &#8220;Very,&#8221; &#8220;Nice,&#8221; &#8220;Dumbest&#8221;","11 November 2010, 9:45 pm",Andrew,['Sports'],0,3,0
2,Incumbency advantage in 2010,"11 November 2010, 3:04 pm",Andrew,['Political Science'],1,6,3
3,Data Visualization vs. Statistical Graphics,"11 November 2010, 9:29 am",Andrew,['Statistical graphics'],0,214,2
4,Translating into Votes: The Electoral Impact of Spanish-Language Ballots,"10 November 2010, 7:39 pm",Andrew,['Political Science'],0,230,2
5,Estimation from an out-of-date census,"10 November 2010, 9:14 am",Andrew,"['Economics', 'Miscellaneous Statistics', 'Political Science']",0,211,0
6,Society for Industrial and Applied Mathematics startup-math meetup,"9 November 2010, 7:52 pm",Andrew,"['Economics', 'Miscellaneous Science']",0,32,0
7,Kaggle: forecasting competitions in the classroom,"9 November 2010, 5:00 pm",Andrew,['Miscellaneous Statistics'],0,171,0
8,&#8220;Much of the recent reported drop in interstate migration is a statistical artifact&#8221;,"9 November 2010, 9:50 am",Andrew,"['Economics', 'Miscellaneous Statistics', 'Sociology', 'Statistical graphics']",0,243,2
9,"Poli sci plagiarism update, and a note about the benefits of not caring","8 November 2010, 11:13 am",Andrew,"['Decision Theory', 'Sociology']",0,1279,1
10,Silly old chi-square!,"8 November 2010, 9:59 am",Andrew,"['Decision Theory', 'Miscellaneous Statistics']",0,382,2
11,Challenges of experimental design; also another rant on the practice of mentioning the publication of an article but not naming its author,"7 November 2010, 9:53 am",Andrew,"['Decision Theory', 'Miscellaneous Statistics', 'Public Health']",0,455,1
12,Quote of the day,"6 November 2010, 9:53 pm",Andrew,"['Bayesian Statistics', 'Multilevel Modeling']",0,48,3
13,Multilevel quantile regression,"6 November 2010, 6:19 pm",Andrew,"['Multilevel Modeling', 'Statistical computing']",0,235,6
14,Consulting: how do you figure out what to charge?,"5 November 2010, 11:23 am",Phil,['Economics'],0,642,1
15,2010: What happened?,"5 November 2010, 9:05 am",Andrew,['Political Science'],0,1753,2
16,Journalism in the age of data,"5 November 2010, 8:54 am",Aleks Jakulin,['Statistical graphics'],1,41,0
17,"Estimating the effect of A on B, and also the effect of B on A","4 November 2010, 11:07 pm",Andrew,['Causal Inference'],0,334,3
18,Some thoughts on election forecasting,"3 November 2010, 10:32 pm",Andrew,['Decision Theory'],0,1128,1
19,Taleb + 3.5 years,"3 November 2010, 9:08 am",Andrew,"['Decision Theory', 'Economics', 'Literature']",0,907,1
20,Fragment of statistical autobiography,"2 November 2010, 4:38 pm",Andrew,"['Literature', 'Miscellaneous Statistics']",0,1594,3
21,"Works almost as well, costs a lot less","2 November 2010, 12:34 pm",Phil,['Public Health'],1,0,9
22,"Classic probability mistake, this time in the (virtual) pages of the New York Times","1 November 2010, 8:30 pm",Andrew,"['Teaching', 'Zombies']",0,241,1
23,"Do you own anything that was manufactured in the 1950s and still is in regular, active use in your life?","1 November 2010, 5:51 pm",Andrew,['Sociology'],0,128,1
24,Why it can be rational to vote,"1 November 2010, 5:27 pm",Andrew,"['Political Science', 'Zombies']",0,803,0
25,The placebo effect in pharma,"1 November 2010, 2:35 pm",Andrew,['Public Health'],0,328,4
26,Two stories about the election that I don&#8217;t believe,"31 October 2010, 10:39 pm",Andrew,"['Political Science', 'Zombies']",0,916,2
27,Wacky surveys where they don&#8217;t tell you the questions they asked,"31 October 2010, 9:53 pm",Andrew,"['Sociology', 'Zombies']",0,617,0
28,Analyzing the entire population rather than a sample,"31 October 2010, 9:54 am",Andrew,['Multilevel Modeling'],0,346,2
29,"Sorry, Senator DeMint: Most Americans Don&#8217;t Want to Ban Gays from the Classroom","30 October 2010, 11:24 am",Andrew,['Political Science'],0,293,7
30,&#8220;Presidential Election Outcomes Directly Influence Suicide Rates&#8221;,"30 October 2010, 9:40 am",Andrew,"['Political Science', 'Public Health']",0,795,6
31,Could someone please set this as the new R default in base graphics?,"29 October 2010, 8:00 pm",Andrew,"['Statistical computing', 'Statistical graphics']",0,6,1
32,&#8220;Bluntly put . . .&#8221;,"29 October 2010, 9:53 am",Andrew,['Political Science'],0,59,3
33,My talk at American University,"28 October 2010, 9:51 pm",Andrew,"['Political Science', 'Zombies']",0,133,2
34,World Economic Forum Data Visualization Challenge,"28 October 2010, 8:19 pm",Andrew,['Statistical graphics'],0,167,2
35,The incoming moderate Republican congressmembers,"28 October 2010, 6:59 pm",Andrew,['Political Science'],0,297,2
36,Matching for preprocessing data for causal inference,"28 October 2010, 9:02 am",Andrew,['Causal Inference'],0,288,6
37,It&#8217;s better than being forwarded the latest works of you-know-who,"27 October 2010, 7:41 pm",Andrew,['Zombies'],0,18,0
38,"No matter how famous you are, billions of people have never heard of you.","27 October 2010, 7:05 pm",Phil,['Sociology'],0,34,6
39,A use for tables (really),"27 October 2010, 9:49 am",Andrew,['Statistical graphics'],0,196,2
40,Musical chairs in econ journals,"26 October 2010, 9:21 am",Andrew,"['Decision Theory', 'Economics', 'Sociology']",0,564,9
41,"In today&#8217;s economy, the rich get richer","25 October 2010, 6:02 pm",Andrew,['Economics'],0,9,7
42,Is instrumental variables analysis particularly susceptible to Type M errors?,"25 October 2010, 3:25 pm",Andrew,"['Causal Inference', 'Economics', 'Miscellaneous Statistics']",0,335,2
43,Misunderstanding of divided government,"25 October 2010, 9:43 am",Andrew,"['Political Science', 'Zombies']",0,659,7
44,Who gets wedding announcements in the Times?,"25 October 2010, 9:09 am",Andrew,"['Miscellaneous Statistics', 'Sociology']",0,1101,1
45,Mankiw tax update,"24 October 2010, 9:37 pm",Andrew,"['Economics', 'Sociology']",0,279,1
46,Erving Goffman archives,"24 October 2010, 9:50 am",Andrew,['Sociology'],0,142,7
47,Politics is not a random walk: Momentum and mean reversion in polling,"22 October 2010, 4:47 pm",Andrew,['Political Science'],0,1320,1
48,A redrawing of the Red/Blue map in November 2010?,"22 October 2010, 4:23 pm",Andrew,['Political Science'],0,214,0
49,Graphing Likert scale responses,"22 October 2010, 9:56 am",Andrew,['Statistical graphics'],0,124,1
50,Applied Statistics Center miniconference: Statistical sampling in developing countries,"21 October 2010, 10:56 pm",Andrew,"['Economics', 'Miscellaneous Statistics', 'Political Science']",0,50,3
51,"Forensic bioinformatics, or, Don&#8217;t believe everything you read in the (scientific) papers","21 October 2010, 4:10 pm",Andrew,"['Miscellaneous Statistics', 'Public Health', 'Sociology', 'Statistical computing']",0,283,6
52,"Tenure-track statistics job at Teachers College, here at Columbia!","21 October 2010, 9:04 am",Andrew,['Miscellaneous Statistics'],0,309,0
53,Ranking on crime rankings,"20 October 2010, 8:17 pm",Andrew,['Sociology'],0,36,0
54,Andy vs. the Ideal Point Model of Voting,"20 October 2010, 4:30 pm",Bob Carpenter,"['Miscellaneous Statistics', 'Political Science']",2,1233,9
55,When Kerry Met Sally: Politics and Perceptions in the Demand for Movies,"20 October 2010, 3:57 pm",Andrew,"['Multilevel Modeling', 'Political Science']",0,384,0
56,Sas and R,"20 October 2010, 9:46 am",Andrew,['Statistical computing'],0,14,2
57,There&#8217;s only one Amtrak,"19 October 2010, 9:45 pm",Andrew,['Economics'],0,228,6
58,Analysis of survey data: Design based models vs. hierarchical modeling?,"19 October 2010, 8:27 pm",Andrew,"['Miscellaneous Statistics', 'Multilevel Modeling']",0,407,5
59,The violent crime rate was about 75% higher in Detroit than in Minneapolis in 2009,"19 October 2010, 9:59 am",Andrew,['Sociology'],0,52,1
60,What&#8217;s with these people who write &#8220;Please remove me from this mailing list&#8221; and then hit Reply-All?,"18 October 2010, 11:07 pm",Andrew,['Zombies'],0,0,6
61,Bike shelf,"18 October 2010, 10:46 pm",Andrew,['Sports'],0,27,6
62,Subtle statistical issues to be debated on TV.,"18 October 2010, 4:53 pm",keithor,"['Public Health', 'Zombies']",1,396,9
63,&#8220;I was finding the test so irritating and boring that I just started to click through as fast as I could&#8221;,"18 October 2010, 9:46 am",Andrew,['Miscellaneous Science'],0,786,1
64,Getting arm and lme4 running on the Mac,"17 October 2010, 8:49 pm",Andrew,"['Multilevel Modeling', 'Statistical computing']",0,208,5
65,Joanne Gowa scooped me by 22 years in my criticism of Axelrod&#8217;s Evolution of Cooperation,"17 October 2010, 9:42 am",Andrew,['Political Science'],0,15,3
66,Mandelbrot and Akaike: from taxonomy to smooth runways (pioneering work in fractals and self-similarity),"16 October 2010, 12:10 pm",Andrew,['Multilevel Modeling'],1,340,1
67,Story time,"15 October 2010, 11:50 am",Andrew,['Causal Inference'],0,441,3
68,?,"15 October 2010, 9:56 am",Andrew,['Zombies'],0,300,2
69,Things we do on sabbatical instead of actually working,"15 October 2010, 9:20 am",Andrew,"['Literature', 'Political Science']",0,36,5
70,Confusion about continuous probability densities,"14 October 2010, 3:44 pm",Andrew,['Bayesian Statistics'],0,662,9
71,Trying to be precise about vagueness,"14 October 2010, 9:27 am",Andrew,"['Bayesian Statistics', 'Multilevel Modeling']",0,189,0
